ENSMUST00000193812,ENSMUSG00000102693
ENSMUST00000082032,ENSMUSG00000025936
ENSMUST00000178869,ENSMUSG00000025936
ENSMUST00000179730,ENSMUSG00000025936
ENSMUST00000178260,ENSMUSG00000093963
ENSMUST00000088407,ENSMUSG00000067750
ENSMUST00000148174,ENSMUSG00000086194
ENSMUST00000137146,ENSMUSG00000094436
ENSMUST00000070223,ENSMUSG00000041722
ENSMUST00000142979,ENSMUSG00000085507
ENSMUST00000140035,ENSMUSG00000094926
ENSMUST00000147615,ENSMUSG00000085079
ENSMUST00000126985,ENSMUSG00000085679
ENSMUST00000029667,ENSMUSG00000028033
ENSMUST00000115300,ENSMUSG00000028033
ENSMUST00000173058,ENSMUSG00000028033
ENSMUST00000174183,ENSMUSG00000028033
ENSMUST00000173404,ENSMUSG00000028033
ENSMUST00000115299,ENSMUSG00000028033
ENSMUST00000134505,ENSMUSG00000028033
ENSMUST00000192487,ENSMUSG00000104138
ENSMUST00000119064,ENSMUSG00000082935
ENSMUST00000194737,ENSMUSG00000103748
ENSMUST00000181002,ENSMUSG00000097109
ENSMUST00000189850,ENSMUSG00000099692
ENSMUST00000190225,ENSMUSG00000100418
ENSMUST00000115273,ENSMUSG00000041670
ENSMUST00000081544,ENSMUSG00000041670
ENSMUST00000097811,ENSMUSG00000041670
ENSMUST00000097810,ENSMUSG00000041670
ENSMUST00000097809,ENSMUSG00000041670
ENSMUST00000164877,ENSMUSG00000041670
ENSMUST00000185942,ENSMUSG00000041670
ENSMUST00000097808,ENSMUSG00000041670
ENSMUST00000180414,ENSMUSG00000097642
ENSMUST00000190510,ENSMUSG00000101468
ENSMUST00000191045,ENSMUSG00000101227
ENSMUST00000073179,ENSMUSG00000073730
ENSMUST00000158928,ENSMUSG00000089553
ENSMUST00000193885,ENSMUSG00000102766
ENSMUST00000195365,ENSMUSG00000102766
ENSMUST00000083471,ENSMUSG00000065405
ENSMUST00000182303,ENSMUSG00000097970
ENSMUST00000083633,ENSMUSG00000065567
ENSMUST00000190910,ENSMUSG00000100775
ENSMUST00000189078,ENSMUSG00000101226
ENSMUST00000027343,ENSMUSG00000026158
ENSMUST00000186064,ENSMUSG00000026158
ENSMUST00000188677,ENSMUSG00000026158
ENSMUST00000189537,ENSMUSG00000026158
ENSMUST00000180769,ENSMUSG00000097920
ENSMUST00000191140,ENSMUSG00000099503
ENSMUST00000144602,ENSMUSG00000026156
ENSMUST00000063663,ENSMUSG00000026156
ENSMUST00000140583,ENSMUSG00000026156
ENSMUST00000149737,ENSMUSG00000026155
ENSMUST00000027339,ENSMUSG00000026155
ENSMUST00000136506,ENSMUSG00000026155
ENSMUST00000129254,ENSMUSG00000026155
ENSMUST00000148710,ENSMUSG00000026155
ENSMUST00000141330,ENSMUSG00000026155
ENSMUST00000133398,ENSMUSG00000026155
ENSMUST00000027338,ENSMUSG00000026154
ENSMUST00000155767,ENSMUSG00000026154
ENSMUST00000192339,ENSMUSG00000102495
ENSMUST00000195143,ENSMUSG00000102495
ENSMUST00000187619,ENSMUSG00000026153
ENSMUST00000188712,ENSMUSG00000026153
ENSMUST00000187752,ENSMUSG00000026153
ENSMUST00000187369,ENSMUSG00000026153
ENSMUST00000186331,ENSMUSG00000026153
ENSMUST00000027337,ENSMUSG00000026153
ENSMUST00000185807,ENSMUSG00000026153
ENSMUST00000186999,ENSMUSG00000026153
ENSMUST00000185525,ENSMUSG00000026153
ENSMUST00000192408,ENSMUSG00000102398
ENSMUST00000180661,ENSMUSG00000097670
ENSMUST00000054588,ENSMUSG00000026147
ENSMUST00000088349,ENSMUSG00000026147
ENSMUST00000124600,ENSMUSG00000026147
ENSMUST00000147902,ENSMUSG00000026147
ENSMUST00000144297,ENSMUSG00000026141
ENSMUST00000115244,ENSMUSG00000026141
ENSMUST00000051344,ENSMUSG00000026141
ENSMUST00000104275,ENSMUSG00000077463
ENSMUST00000187481,ENSMUSG00000099997
ENSMUST00000187714,ENSMUSG00000100131
ENSMUST00000088336,ENSMUSG00000067736
ENSMUST00000188299,ENSMUSG00000101939
ENSMUST00000190277,ENSMUSG00000101111
ENSMUST00000189941,ENSMUSG00000100862
ENSMUST00000188231,ENSMUSG00000102070
ENSMUST00000187117,ENSMUSG00000101249
ENSMUST00000191471,ENSMUSG00000073725
ENSMUST00000186096,ENSMUSG00000073725
ENSMUST00000186190,ENSMUSG00000073725
ENSMUST00000095062,ENSMUSG00000073725
ENSMUST00000187468,ENSMUSG00000073725
ENSMUST00000190195,ENSMUSG00000073725
ENSMUST00000187022,ENSMUSG00000100808
ENSMUST00000186563,ENSMUSG00000100483
ENSMUST00000189477,ENSMUSG00000100483
ENSMUST00000188406,ENSMUSG00000100450
ENSMUST00000185379,ENSMUSG00000099392
ENSMUST00000126626,ENSMUSG00000033569
ENSMUST00000146592,ENSMUSG00000033569
ENSMUST00000135518,ENSMUSG00000033569
ENSMUST00000151309,ENSMUSG00000033569
ENSMUST00000041838,ENSMUSG00000033569
ENSMUST00000153568,ENSMUSG00000033569
ENSMUST00000126096,ENSMUSG00000033569
ENSMUST00000154102,ENSMUSG00000033569
ENSMUST00000190202,ENSMUSG00000033569
ENSMUST00000134022,ENSMUSG00000033569
ENSMUST00000189254,ENSMUSG00000033569
ENSMUST00000119680,ENSMUSG00000080849
ENSMUST00000193138,ENSMUSG00000104257
ENSMUST00000178643,ENSMUSG00000096866
ENSMUST00000192443,ENSMUSG00000102296
ENSMUST00000192367,ENSMUSG00000103209
ENSMUST00000193392,ENSMUSG00000104027
ENSMUST00000193079,ENSMUSG00000102407
ENSMUST00000195128,ENSMUSG00000103214
ENSMUST00000192216,ENSMUSG00000104100
ENSMUST00000122791,ENSMUSG00000084740
ENSMUST00000195543,ENSMUSG00000103889
ENSMUST00000190216,ENSMUSG00000101301
ENSMUST00000194535,ENSMUSG00000104221
ENSMUST00000193573,ENSMUSG00000102250
ENSMUST00000194644,ENSMUSG00000102317
ENSMUST00000192614,ENSMUSG00000103563
ENSMUST00000191772,ENSMUSG00000102465
ENSMUST00000195723,ENSMUSG00000102659
ENSMUST00000192448,ENSMUSG00000103924
ENSMUST00000194923,ENSMUSG00000104132
ENSMUST00000195187,ENSMUSG00000102747
ENSMUST00000193912,ENSMUSG00000102386
ENSMUST00000195754,ENSMUSG00000103004
ENSMUST00000194343,ENSMUSG00000104516
ENSMUST00000185358,ENSMUSG00000101618
ENSMUST00000190716,ENSMUSG00000099458
ENSMUST00000157486,ENSMUSG00000088111
ENSMUST00000097801,ENSMUSG00000073722
ENSMUST00000179494,ENSMUSG00000095256
ENSMUST00000188432,ENSMUSG00000100310
ENSMUST00000185409,ENSMUSG00000101514
ENSMUST00000188833,ENSMUSG00000101033
ENSMUST00000189614,ENSMUSG00000101372
ENSMUST00000193585,ENSMUSG00000103241
ENSMUST00000145844,ENSMUSG00000086240
ENSMUST00000059937,ENSMUSG00000048411
ENSMUST00000122295,ENSMUSG00000081557
ENSMUST00000081488,ENSMUSG00000058590
ENSMUST00000186678,ENSMUSG00000101235
ENSMUST00000082499,ENSMUSG00000064433
ENSMUST00000116975,ENSMUSG00000080625
ENSMUST00000116741,ENSMUSG00000080391
ENSMUST00000183870,ENSMUSG00000099257
ENSMUST00000190438,ENSMUSG00000099492
ENSMUST00000190177,ENSMUSG00000101726
ENSMUST00000178702,ENSMUSG00000096829
ENSMUST00000184585,ENSMUSG00000098883
ENSMUST00000065469,ENSMUSG00000053185
ENSMUST00000188572,ENSMUSG00000100261
ENSMUST00000186120,ENSMUSG00000101180
ENSMUST00000186733,ENSMUSG00000048874
ENSMUST00000088310,ENSMUSG00000048874
ENSMUST00000191329,ENSMUSG00000048874
ENSMUST00000190190,ENSMUSG00000048874
ENSMUST00000187316,ENSMUSG00000048874
ENSMUST00000186105,ENSMUSG00000048874
ENSMUST00000191245,ENSMUSG00000048874
ENSMUST00000191064,ENSMUSG00000048874
ENSMUST00000188847,ENSMUSG00000048874
ENSMUST00000187600,ENSMUSG00000048874
ENSMUST00000185521,ENSMUSG00000048874
ENSMUST00000188780,ENSMUSG00000048874
ENSMUST00000187968,ENSMUSG00000048874
ENSMUST00000185604,ENSMUSG00000048874
ENSMUST00000195437,ENSMUSG00000103783
ENSMUST00000192050,ENSMUSG00000104315
ENSMUST00000027232,ENSMUSG00000026064
ENSMUST00000076587,ENSMUSG00000026064
ENSMUST00000153681,ENSMUSG00000026064
ENSMUST00000130934,ENSMUSG00000026064
ENSMUST00000124445,ENSMUSG00000026064
ENSMUST00000202889,ENSMUSG00000026064
ENSMUST00000178317,ENSMUSG00000086151
ENSMUST00000135273,ENSMUSG00000086726
ENSMUST00000152491,ENSMUSG00000087346
ENSMUST00000188605,ENSMUSG00000100371
ENSMUST00000191364,ENSMUSG00000100237
ENSMUST00000184868,ENSMUSG00000098529
ENSMUST00000187892,ENSMUSG00000086727
ENSMUST00000127775,ENSMUSG00000086727
ENSMUST00000187659,ENSMUSG00000086727
ENSMUST00000135245,ENSMUSG00000086727
ENSMUST00000186448,ENSMUSG00000100910
ENSMUST00000189666,ENSMUSG00000099796
ENSMUST00000062560,ENSMUSG00000050217
ENSMUST00000161773,ENSMUSG00000050217
ENSMUST00000027230,ENSMUSG00000026063
ENSMUST00000104476,ENSMUSG00000077664
ENSMUST00000185684,ENSMUSG00000100205
ENSMUST00000185859,ENSMUSG00000100592
ENSMUST00000178167,ENSMUSG00000094215
ENSMUST00000189839,ENSMUSG00000101093
ENSMUST00000095050,ENSMUSG00000070960
ENSMUST00000157995,ENSMUSG00000088620
ENSMUST00000117896,ENSMUSG00000082159
ENSMUST00000027226,ENSMUSG00000026058
ENSMUST00000189878,ENSMUSG00000026058
ENSMUST00000188257,ENSMUSG00000026058
ENSMUST00000185666,ENSMUSG00000026058
ENSMUST00000186984,ENSMUSG00000026058
ENSMUST00000082754,ENSMUSG00000064688
ENSMUST00000195178,ENSMUSG00000103482
ENSMUST00000192993,ENSMUSG00000104498
ENSMUST00000193099,ENSMUSG00000104313
ENSMUST00000195252,ENSMUSG00000102865
ENSMUST00000195761,ENSMUSG00000102321
ENSMUST00000171322,ENSMUSG00000091318
ENSMUST00000158864,ENSMUSG00000089489
ENSMUST00000195241,ENSMUSG00000104433
ENSMUST00000158770,ENSMUSG00000089395
ENSMUST00000194631,ENSMUSG00000102926
ENSMUST00000186430,ENSMUSG00000100497
ENSMUST00000195240,ENSMUSG00000102917
ENSMUST00000190159,ENSMUSG00000100481
ENSMUST00000191025,ENSMUSG00000100590
ENSMUST00000158125,ENSMUSG00000088750
ENSMUST00000193283,ENSMUSG00000104230
ENSMUST00000187673,ENSMUSG00000101754
ENSMUST00000083289,ENSMUSG00000065223
ENSMUST00000189104,ENSMUSG00000100318
ENSMUST00000191215,ENSMUSG00000101612
ENSMUST00000083326,ENSMUSG00000065260
ENSMUST00000027312,ENSMUSG00000026134
ENSMUST00000189552,ENSMUSG00000026134
ENSMUST00000187353,ENSMUSG00000026134
ENSMUST00000185489,ENSMUSG00000101682
ENSMUST00000192891,ENSMUSG00000102714
ENSMUST00000185377,ENSMUSG00000102093
ENSMUST00000191779,ENSMUSG00000103746
ENSMUST00000191965,ENSMUSG00000103746
ENSMUST00000193126,ENSMUSG00000102198
ENSMUST00000195006,ENSMUSG00000004768
ENSMUST00000140354,ENSMUSG00000004768
ENSMUST00000088287,ENSMUSG00000004768
ENSMUST00000138024,ENSMUSG00000004768
ENSMUST00000135330,ENSMUSG00000004768
ENSMUST00000151482,ENSMUSG00000004768
ENSMUST00000115174,ENSMUSG00000004768
ENSMUST00000150593,ENSMUSG00000004768
ENSMUST00000122822,ENSMUSG00000004768
ENSMUST00000132066,ENSMUSG00000004768
ENSMUST00000044691,ENSMUSG00000042215
ENSMUST00000155484,ENSMUSG00000042215
ENSMUST00000187602,ENSMUSG00000042215
ENSMUST00000189741,ENSMUSG00000042215
ENSMUST00000195310,ENSMUSG00000103072
ENSMUST00000139143,ENSMUSG00000042197
ENSMUST00000019861,ENSMUSG00000042197
ENSMUST00000115167,ENSMUSG00000042197
ENSMUST00000151055,ENSMUSG00000042197
ENSMUST00000194656,ENSMUSG00000042197
ENSMUST00000130376,ENSMUSG00000042197
ENSMUST00000140163,ENSMUSG00000042197
ENSMUST00000044455,ENSMUSG00000042197
ENSMUST00000125723,ENSMUSG00000042197
ENSMUST00000117459,ENSMUSG00000081402
ENSMUST00000115161,ENSMUSG00000042182
ENSMUST00000129464,ENSMUSG00000042182
ENSMUST00000062289,ENSMUSG00000042182
ENSMUST00000195350,ENSMUSG00000042182
ENSMUST00000126724,ENSMUSG00000042182
ENSMUST00000139700,ENSMUSG00000042182
ENSMUST00000195730,ENSMUSG00000104416
ENSMUST00000183034,ENSMUSG00000026131
ENSMUST00000187486,ENSMUSG00000026131
ENSMUST00000182697,ENSMUSG00000026131
ENSMUST00000182314,ENSMUSG00000026131
ENSMUST00000183331,ENSMUSG00000026131
ENSMUST00000097786,ENSMUSG00000026131
ENSMUST00000097785,ENSMUSG00000026131
ENSMUST00000115104,ENSMUSG00000026131
ENSMUST00000182410,ENSMUSG00000026131
ENSMUST00000183006,ENSMUSG00000026131
ENSMUST00000183302,ENSMUSG00000026131
ENSMUST00000185897,ENSMUSG00000026131
ENSMUST00000185269,ENSMUSG00000026131
ENSMUST00000182335,ENSMUSG00000026131
ENSMUST00000189952,ENSMUSG00000026131
ENSMUST00000182018,ENSMUSG00000026131
ENSMUST00000185736,ENSMUSG00000026131
ENSMUST00000183100,ENSMUSG00000026131
ENSMUST00000182507,ENSMUSG00000026131
ENSMUST00000193333,ENSMUSG00000103596
ENSMUST00000190740,ENSMUSG00000099382
ENSMUST00000122557,ENSMUSG00000084506
ENSMUST00000194178,ENSMUSG00000103364
ENSMUST00000198033,ENSMUSG00000105982
ENSMUST00000181692,ENSMUSG00000096992
ENSMUST00000187268,ENSMUSG00000096992
ENSMUST00000194192,ENSMUSG00000104475
ENSMUST00000194920,ENSMUSG00000103001
ENSMUST00000193131,ENSMUSG00000104397
ENSMUST00000195223,ENSMUSG00000102839
ENSMUST00000187302,ENSMUSG00000101206
ENSMUST00000186409,ENSMUSG00000101462
ENSMUST00000188254,ENSMUSG00000101462
ENSMUST00000192173,ENSMUSG00000102336
ENSMUST00000175111,ENSMUSG00000092852
ENSMUST00000042493,ENSMUSG00000042111
ENSMUST00000188583,ENSMUSG00000042111
ENSMUST00000191315,ENSMUSG00000101711
ENSMUST00000027303,ENSMUSG00000026127
ENSMUST00000187077,ENSMUSG00000026127
ENSMUST00000137794,ENSMUSG00000026127
ENSMUST00000149962,ENSMUSG00000026127
ENSMUST00000134327,ENSMUSG00000026127
ENSMUST00000128086,ENSMUSG00000026127
ENSMUST00000136770,ENSMUSG00000026127
ENSMUST00000191000,ENSMUSG00000026127
ENSMUST00000185610,ENSMUSG00000026126
ENSMUST00000027302,ENSMUSG00000026126
ENSMUST00000190122,ENSMUSG00000026126
ENSMUST00000188884,ENSMUSG00000026126
ENSMUST00000186252,ENSMUSG00000026126
ENSMUST00000188972,ENSMUSG00000026126
ENSMUST00000188019,ENSMUSG00000026126
ENSMUST00000191357,ENSMUSG00000100280
ENSMUST00000185218,ENSMUSG00000100280
ENSMUST00000185881,ENSMUSG00000100280
ENSMUST00000188292,ENSMUSG00000101223
ENSMUST00000186117,ENSMUSG00000101223
ENSMUST00000027299,ENSMUSG00000026125
ENSMUST00000191604,ENSMUSG00000026125
ENSMUST00000188334,ENSMUSG00000101116
ENSMUST00000027298,ENSMUSG00000026124
ENSMUST00000189108,ENSMUSG00000101803
ENSMUST00000115071,ENSMUSG00000037529
ENSMUST00000190790,ENSMUSG00000037529
ENSMUST00000047840,ENSMUSG00000037529
ENSMUST00000186712,ENSMUSG00000045815
ENSMUST00000062557,ENSMUSG00000045815
ENSMUST00000052670,ENSMUSG00000045174
ENSMUST00000186179,ENSMUSG00000100524
ENSMUST00000192770,ENSMUSG00000102499
ENSMUST00000192986,ENSMUSG00000103521
ENSMUST00000195095,ENSMUSG00000104098
ENSMUST00000159747,ENSMUSG00000037509
ENSMUST00000162599,ENSMUSG00000037509
ENSMUST00000159021,ENSMUSG00000037509
ENSMUST00000047664,ENSMUSG00000037509
ENSMUST00000162760,ENSMUSG00000037509
ENSMUST00000159059,ENSMUSG00000037509
ENSMUST00000160855,ENSMUSG00000037509
ENSMUST00000192878,ENSMUSG00000102537
ENSMUST00000194977,ENSMUSG00000102612
ENSMUST00000193040,ENSMUSG00000104002
ENSMUST00000167518,ENSMUSG00000037503
ENSMUST00000047534,ENSMUSG00000037503
ENSMUST00000170092,ENSMUSG00000037503
ENSMUST00000185469,ENSMUSG00000037503
ENSMUST00000191307,ENSMUSG00000037503
ENSMUST00000185279,ENSMUSG00000037503
ENSMUST00000185231,ENSMUSG00000037503
ENSMUST00000140534,ENSMUSG00000037503
ENSMUST00000192924,ENSMUSG00000104358
ENSMUST00000156687,ENSMUSG00000026123
ENSMUST00000027297,ENSMUSG00000026123
ENSMUST00000152654,ENSMUSG00000026123
ENSMUST00000191722,ENSMUSG00000026123
ENSMUST00000193847,ENSMUSG00000103716
ENSMUST00000193622,ENSMUSG00000103548
ENSMUST00000191672,ENSMUSG00000103760
ENSMUST00000192315,ENSMUSG00000103997
ENSMUST00000104043,ENSMUSG00000077231
ENSMUST00000195168,ENSMUSG00000104417
ENSMUST00000082667,ENSMUSG00000064601
ENSMUST00000187528,ENSMUSG00000101714
ENSMUST00000194261,ENSMUSG00000102531
ENSMUST00000191763,ENSMUSG00000103096
ENSMUST00000192572,ENSMUSG00000102279
ENSMUST00000193725,ENSMUSG00000103708
ENSMUST00000194823,ENSMUSG00000103708
ENSMUST00000192017,ENSMUSG00000104201
ENSMUST00000195698,ENSMUSG00000102434
ENSMUST00000088174,ENSMUSG00000045216
ENSMUST00000194670,ENSMUSG00000045216
ENSMUST00000192656,ENSMUSG00000104523
ENSMUST00000193983,ENSMUSG00000102202
